Origen,CoordOriX,CoordOriY,Destination,CoordDestX,CoordDestY,Difficulty [1-5],Code,Description,Distance [mm],Time  [s]
1,917,1047,2,919,1572,2,0,Normal,444.6,4.446
1,917,1047,10,918,579,1,0,Normal,396.94,3.9694
1,917,1047,19,517,1046,1,0,Normal,338.15,3.3815
1,917,1047,20,398,1047,2,0,Normal,439.38,4.3938
1,917,1047,21,77,1049,2,0,Normal,711.33,7.1133
2,919,1572,1,917,1047,2,0,Normal,444.6,4.446
2,919,1572,3,1458,1573,2,0,Normal,456.84,4.5684
2,919,1572,10,918,579,2,0,Normal,841.54,8.4154
3,1458,1573,2,919,1572,2,0,Normal,456.84,4.5684
3,1458,1573,4,1457,1099,3,0,Subida,399.63,3.9963
4,1457,1099,3,1458,1573,4,0,Bajada,399.63,3.9963
4,1457,1099,5,1025,1100,1,0,Normal,365.85,3.6585
5,1025,1100,4,1457,1099,1,0,Normal,365.85,3.6585
5,1025,1100,6,1028,698,1,0,Normal,329.89,3.2989
6,1028,698,5,1025,1100,1,0,Normal,329.89,3.2989
6,1028,698,7,1459,698,1,0,Normal,364.14,3.6414
7,1459,698,6,1028,698,1,0,Normal,364.14,3.6414
7,1459,698,8,1465,304,4,0,Bajada,333.55,3.3355
8,1465,304,7,1459,698,3,0,Subida,333.55,3.3355
8,1465,304,11,1018,304,2,0,Normal,519.49,5.1949
8,1465,304,24,1360,307,1,0,Normal,85.4,0.854
9,1353,579,10,918,579,1,0,Normal,368.25,3.6825
9,1353,579,24,1360,307,1,0,Normal,234.7,2.347
10,918,579,1,917,1047,1,0,Normal,396.94,3.9694
10,918,579,2,919,1572,2,0,Normal,618.34,6.1834
10,918,579,9,1353,579,1,0,Normal,368.25,3.6825
10,918,579,11,1018,304,3,0,Normal,213.16,2.1316
10,918,579,11,1018,304,5,2,Obj Moviles,213.16,2.1316
10,918,579,14,512,306,2,0,Normal,418.59,4.1859
10,918,579,14,512,306,5,2,Obj Moviles,418.59,4.1859
10,918,579,18,518,723,3,0,Normal,369.11,3.6911
10,918,579,18,518,723,5,2,Obj Moviles,369.11,3.6911
11,1018,304,8,1465,304,1,0,Normal,370.19,3.7019
11,1018,304,10,918,579,3,0,Normal,213.16,2.1316
11,1018,304,10,918,579,5,2,Obj Moviles,213.16,2.1316
11,1018,304,12,1018,76,3,0,Subida,193.4,1.934
11,1018,304,14,512,306,5,2,Obj Moviles,442.1,4.421
11,1018,304,14,512,306,3,0,Normal,442.1,4.421
11,1018,304,18,518,723,2,0,Normal,553.11,5.5311
11,1018,304,18,518,723,5,2,Obj Moviles,553.11,5.5311
11,1018,304,24,1360,307,1,0,Normal,284.79,2.8479
12,1018,76,11,1018,304,4,0,Bajada,193.4,1.934
12,1018,76,13,512,77,1,0,Normal,428.84,4.2884
12,1018,76,15,78,78,2,0,Normal,795.69,7.9569
13,512,77,12,1018,76,1,0,Normal,428.84,4.2884
13,512,77,14,512,306,4,0,Bajada,195.68,1.9568
13,512,77,15,78,78,1,0,Normal,366.85,3.6685
14,512,306,10,918,579,2,0,Normal,418.59,4.1859
14,512,306,10,918,579,5,2,Obj Moviles,418.59,4.1859
14,512,306,11,1018,304,3,0,Normal,442.1,4.421
14,512,306,11,1018,304,5,2,Obj Moviles,442.1,4.421
14,512,306,13,512,77,3,0,Subida,195.68,1.9568
14,512,306,16,77,306,1,0,Normal,370.97,3.7097
14,512,306,18,518,723,3,0,Normal,391.92,3.9192
14,512,306,18,518,723,5,2,Obj Moviles,391.92,3.9192
15,78,78,12,1018,76,2,0,Normal,762.89,7.6289
15,78,78,13,512,77,1,0,Normal,366.85,3.6685
15,78,78,16,77,306,4,0,Bajada,193.36,1.9336
15,78,78,17,77,724,2,0,Normal,549.81,5.4981
15,78,78,21,77,1049,2,0,Normal,826.23,8.2623
15,78,78,22,78,838,2,0,Normal,646.51,6.4651
16,77,306,14,512,306,1,0,Normal,370.97,3.7097
16,77,306,15,78,78,3,0,Subida,193.36,1.9336
16,77,306,17,77,724,3,0,Normal,356.45,3.5645
16,77,306,22,78,838,2,0,Normal,453.15,4.5315
16,77,306,21,77,1049,2,0,Normal,632.87,6.3287
17,77,724,15,78,78,2,0,Normal,725.56,7.2556
17,77,724,16,77,306,3,0,Normal,356.45,3.5645
17,77,724,18,518,723,3,0,Normal,373.28,3.7328
17,77,724,21,77,1049,2,0,Normal,276.42,2.7642
17,77,724,22,78,838,2,0,Normal,96.7,0.967
18,518,723,10,918,579,3,0,Normal,369.11,3.6911
18,518,723,10,918,579,5,2,Obj Moviles,369.11,3.6911
18,518,723,11,1018,304,2,0,Normal,553.11,5.5311
18,518,723,11,1018,304,5,2,Obj Moviles,553.11,5.5311
18,518,723,14,512,306,3,0,Normal,391.92,3.9192
18,518,723,14,512,306,5,2,Obj Moviles,391.92,3.9192
18,518,723,17,77,724,3,0,Normal,373.28,3.7328
18,518,723,19,517,1046,1,0,Normal,273.25,2.7325
19,517,1046,1,917,1047,1,0,Normal,338.15,3.3815
19,517,1046,18,518,723,1,0,Normal,273.25,2.7325
19,517,1046,20,398,1047,2,0,Normal,101.23,1.0123
19,517,1046,21,77,1049,2,0,Normal,373.18,3.7318
20,398,1047,1,917,1047,1,0,Normal,439.38,4.3938
20,398,1047,19,517,1046,2,0,Normal,101.23,1.0123
20,398,1047,21,77,1049,3,1,Lluvia,271.95,2.7195
20,398,1047,21,77,1049,1,0,Normal,271.95,2.7195
20,398,1047,23,398,838,1,0,Normal,177.78,1.7778
20,398,1047,23,398,838,3,1,Lluvia,177.78,1.7778
21,77,1049,1,917,1047,2,0,Normal,711.33,7.1133
21,77,1049,15,78,78,2,0,Normal,826.23,8.2623
21,77,1049,16,77,306,2,0,Normal,632.87,6.3287
21,77,1049,17,77,724,2,0,Normal,276.42,2.7642
21,77,1049,19,517,1046,2,0,Normal,373.18,3.7318
21,77,1049,20,398,1047,1,0,Normal,271.95,2.7195
21,77,1049,20,398,1047,3,1,Lluvia,271.95,2.7195
21,77,1049,22,78,838,1,0,Normal,179.72,1.7972
21,77,1049,22,78,838,3,1,Lluvia,179.72,1.7972
22,78,838,15,78,78,2,0,Normal,646.51,6.4651
22,78,838,16,77,306,2,0,Normal,453.15,4.5315
22,78,838,17,77,724,2,0,Normal,96.7,0.967
22,78,838,21,77,1049,1,0,Normal,179.72,1.7972
22,78,838,21,77,1049,3,1,Lluvia,179.72,1.7972
22,78,838,23,398,838,1,0,Normal,273.75,2.7375
22,78,838,23,398,838,3,1,Lluvia,273.75,2.7375
23,398,838,20,398,1047,1,0,Normal,177.78,1.7778
23,398,838,20,398,1047,3,1,Lluvia,177.78,1.7778
23,398,838,22,78,838,1,0,Normal,273.75,2.7375
23,398,838,22,78,838,3,1,Lluvia,273.75,2.7375
24,1360,307,8,1465,304,1,0,Normal,85.4,0.854
24,1360,307,9,1353,579,1,0,Normal,234.7,2.347
24,1360,307,11,1018,304,1,0,Normal,284.79,2.8479
